"cell","x","y","built_pct","light_mcd_m2","pm25_ug_m3","utci_strong_h","hw_days","crop_frac","bii","landchange_freq","pop_dens_km2","gdp_pc_2022","utci_valid_h"
168,6181797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,6211797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,6241797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,6271797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,6301797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,6331797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,6361797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,6391797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,6421797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,6451797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,6481797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,6511797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,6541797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,6571797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,6601797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,6631797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,6661797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,6691797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,6721797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,6751797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,6781797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,6811797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,6841797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,6871797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,6901797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,6931797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,6961797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,6991797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,7021797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,7051797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,7081797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,7111797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,7141797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,7171797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,7201797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,7231797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,7261797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,7291797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,7321797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,7351797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,7381797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,7411797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,7441797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,7471797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,1171797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,1201797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,1231797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,1261797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,1291797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,1321797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,1351797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1381797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,1411797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,1441797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,1471797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,1501797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,1531797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,1561797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,1591797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,1621797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,1651797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,1681797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,1711797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,1741797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,1771797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,1801797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,1831797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,1861797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,1891797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,1921797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,1951797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,1981797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,2011797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,2041797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,2071797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,2101797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,2131797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,2161797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,2191797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,2221797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,2251797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,2281797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,2311797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,2341797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,2371797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,2401797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,2431797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,2461797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,2491797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,2521797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,2551797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,2581797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,2611797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,2641797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,2671797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,2701797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,2731797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,2761797.53737928,5697294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
